w_cont,w_ref,threshold,n,tp,fp,fn,tn,precision,recall,f1
0.5,0.5,0.45,14328,2310,234,6365,5419,0.9080188679245284,0.26628242074927955,0.41180140832516277
0.5,0.5,0.5,14328,5832,3456,2843,2197,0.627906976744186,0.6722766570605188,0.6493347436397039
0.5,0.5,0.55,14328,6571,4005,2104,1648,0.6213124054462935,0.7574639769452449,0.6826658355410108
0.5,0.5,0.6000000000000001,14328,6777,4317,1898,1336,0.6108707409410492,0.7812103746397695,0.6856188982750772
0.5,0.5,0.65,14328,6886,4468,1789,1185,0.6064822969878457,0.7937752161383286,0.6876029756852564
0.5,0.5,0.7000000000000001,14328,7003,4752,1672,901,0.5957464908549553,0.8072622478386167,0.6855604503181596
0.5,0.5,0.75,14328,7080,4909,1595,744,0.5905413295520894,0.8161383285302594,0.6852497096399536
0.5,0.5,0.8,14328,7194,5006,1481,647,0.589672131147541,0.8292795389048991,0.6892455089820361
0.5,0.5,0.8500000000000001,14328,7356,5301,1319,352,0.5811803744963261,0.8479538904899135,0.689668104256516
0.5,0.5,0.9,14328,7558,5541,1117,112,0.5769906099702268,0.8712391930835734,0.6942224671626711
0.5,0.5,0.9500000000000001,14328,7763,5621,912,32,0.5800209205020921,0.8948703170028819,0.7038397026157126
0.6,0.4,0.1,14328,1522,6,7153,5647,0.9960732984293194,0.17544668587896253,0.29834362442418894
0.6,0.4,0.15000000000000002,14328,1526,7,7149,5646,0.9954337899543378,0.1759077809798271,0.2989811912225705
0.6,0.4,0.2,14328,1539,10,7136,5643,0.9935442220787605,0.1774063400576369,0.301056338028169
0.6,0.4,0.25,14328,1550,13,7125,5640,0.9916826615483045,0.1786743515850144,0.3027935143582731
0.6,0.4,0.30000000000000004,14328,1572,16,7103,5637,0.9899244332493703,0.18121037463976944,0.30634317451037707
0.6,0.4,0.35000000000000003,14328,1597,18,7078,5635,0.9888544891640867,0.18409221902017292,0.3103984450923226
0.6,0.4,0.4,14328,1693,24,6982,5629,0.9860221316249272,0.1951585014409222,0.3258275596612779
0.6,0.4,0.45,14328,1780,41,6895,5612,0.9774848984074684,0.20518731988472622,0.3391768292682926
0.6,0.4,0.5,14328,1982,93,6693,5560,0.9551807228915663,0.22847262247838618,0.36874418604651166
0.6,0.4,0.55,14328,2547,324,6128,5329,0.8871473354231975,0.2936023054755043,0.44119175472024946
0.6,0.4,0.6000000000000001,14328,5966,3561,2709,2092,0.6262202162275637,0.6877233429394812,0.6555323590814196
0.6,0.4,0.65,14328,6698,4132,1977,1521,0.6184672206832872,0.7721037463976945,0.6867982568572161
0.6,0.4,0.7000000000000001,14328,6877,4397,1798,1256,0.6099875820471882,0.7927377521613833,0.6894581182014136
0.6,0.4,0.75,14328,6995,4682,1680,971,0.5990408495332705,0.8063400576368877,0.6874017295597484
0.6,0.4,0.8,14328,7105,4916,1570,737,0.5910489975875551,0.8190201729106629,0.6866061074603789
0.6,0.4,0.8500000000000001,14328,7270,5035,1405,618,0.5908167411621292,0.8380403458213257,0.6930409914204004
0.6,0.4,0.9,14328,7482,5474,1193,179,0.5774930534115468,0.862478386167147,0.6917849382830198
0.6,0.4,0.9500000000000001,14328,7730,5610,945,43,0.5794602698650675,0.8910662824207493,0.7022484669543494
0.7,0.30000000000000004,0.1,14328,1519,6,7156,5647,0.9960655737704918,0.1751008645533141,0.29784313725490197
0.7,0.30000000000000004,0.15000000000000002,14328,1524,8,7151,5645,0.9947780678851175,0.1756772334293948,0.2986185950818066
0.7,0.30000000000000004,0.2,14328,1529,13,7146,5640,0.9915693904020753,0.17625360230547552,0.29930507976901244
0.7,0.30000000000000004,0.25,14328,1541,15,7134,5638,0.9903598971722365,0.17763688760806917,0.30124132538363796
0.7,0.30000000000000004,0.30000000000000004,14328,1604,15,7071,5638,0.9907350216182829,0.18489913544668587,0.3116378472896833
0.7,0.30000000000000004,0.35000000000000003,14328,1623,16,7052,5637,0.9902379499694935,0.18708933717579251,0.31471785922047707
0.7,0.30000000000000004,0.4,14328,1647,18,7028,5635,0.9891891891891892,0.18985590778097983,0.318568665377176
0.7,0.30000000000000004,0.45,14328,1684,21,6991,5632,0.987683284457478,0.19412103746397694,0.3244701348747591
0.7,0.30000000000000004,0.5,14328,1744,30,6931,5623,0.9830890642615558,0.20103746397694525,0.3338118480237343
0.7,0.30000000000000004,0.55,14328,1856,55,6819,5598,0.9712192569335426,0.21394812680115274,0.35065180426979026
0.7,0.30000000000000004,0.6000000000000001,14328,2089,124,6586,5529,0.9439674649796657,0.24080691642651297,0.3837252020573108
0.7,0.30000000000000004,0.65,14328,2739,445,5936,5208,0.8602386934673367,0.31573487031700287,0.46192764988616236
0.7,0.30000000000000004,0.7000000000000001,14328,6122,3679,2553,1974,0.6246301397816549,0.7057060518731988,0.6626975535830266
0.7,0.30000000000000004,0.75,14328,6825,4283,1850,1370,0.6144220381706877,0.7867435158501441,0.6899863519183137
0.7,0.30000000000000004,0.8,14328,6980,4575,1695,1078,0.6040675032453483,0.8046109510086455,0.690064260998517
0.7,0.30000000000000004,0.8500000000000001,14328,7153,4930,1522,723,0.5919887445170902,0.8245533141210375,0.6891800751517488
0.7,0.30000000000000004,0.9,14328,7396,5138,1279,515,0.5900749960108504,0.852564841498559,0.6974397661370173
0.7,0.30000000000000004,0.9500000000000001,14328,7653,5581,1022,72,0.5782832099138583,0.8821902017291067,0.6986170067095714
0.8,0.19999999999999996,0.1,14328,1514,8,7161,5645,0.9947437582128777,0.17452449567723344,0.29695008335785034
0.8,0.19999999999999996,0.15000000000000002,14328,1523,12,7152,5641,0.9921824104234528,0.17556195965417867,0.29833496571988244
0.8,0.19999999999999996,0.2,14328,1577,13,7098,5640,0.9918238993710692,0.18178674351585014,0.30725767169995133
0.8,0.19999999999999996,0.25,14328,1587,14,7088,5639,0.9912554653341662,0.18293948126801152,0.308875048657065
0.8,0.19999999999999996,0.30000000000000004,14328,1593,15,7082,5638,0.9906716417910447,0.18363112391930836,0.30983176115919475
