frame_idx,sam2_label,gt_bird_id,iou,is_error,iou_threshold
61,1,75,0.1968,1,0.5
61,3,38,0.097,1,0.5
62,2,113,0.4756,1,0.5
62,4,14,0.3208,1,0.5
62,1,75,0.2066,1,0.5
62,3,38,0.0412,1,0.5
63,2,113,0.4943,1,0.5
63,4,14,0.3669,1,0.5
63,1,75,0.2186,1,0.5
63,3,38,0.0004,1,0.5
64,2,113,0.4394,1,0.5
64,4,14,0.4082,1,0.5
64,1,75,0.2226,1,0.5
64,3,38,0.0,1,0.5
65,4,14,0.4381,1,0.5
65,2,113,0.3992,1,0.5
65,1,75,0.2397,1,0.5
65,3,38,0.0,1,0.5
66,4,14,0.4974,1,0.5
66,2,113,0.344,1,0.5
66,1,75,0.2629,1,0.5
66,3,38,0.0,1,0.5
67,4,14,0.544,0,0.5
67,2,113,0.2928,1,0.5
67,1,75,0.2729,1,0.5
67,3,38,0.0,1,0.5
68,4,14,0.5957,0,0.5
68,1,75,0.3063,1,0.5
68,2,113,0.2495,1,0.5
68,3,38,0.0,1,0.5
69,4,14,0.6429,0,0.5
69,1,75,0.3228,1,0.5
69,2,113,0.2201,1,0.5
69,3,38,0.0,1,0.5
70,4,14,0.649,0,0.5
70,1,75,0.3182,1,0.5
70,2,113,0.1882,1,0.5
70,3,38,0.0,1,0.5
71,4,14,0.6547,0,0.5
71,1,75,0.3459,1,0.5
71,2,113,0.1763,1,0.5
71,3,38,0.0,1,0.5
72,4,14,0.6688,0,0.5
72,1,75,0.3586,1,0.5
72,2,113,0.1968,1,0.5
72,3,38,0.0,1,0.5
73,4,14,0.6897,0,0.5
73,1,75,0.3582,1,0.5
73,2,113,0.2172,1,0.5
73,3,38,0.0307,1,0.5
74,4,14,0.6815,0,0.5
74,1,75,0.3568,1,0.5
74,2,113,0.2373,1,0.5
74,3,38,0.0819,1,0.5
75,4,14,0.6769,0,0.5
75,1,75,0.3581,1,0.5
75,2,113,0.2838,1,0.5
75,3,38,0.1511,1,0.5
76,4,14,0.6848,0,0.5
76,1,75,0.3846,1,0.5
76,2,113,0.3538,1,0.5
76,3,38,0.2263,1,0.5
77,4,14,0.702,0,0.5
77,2,113,0.4784,1,0.5
77,1,75,0.4351,1,0.5
77,3,38,0.3033,1,0.5
78,4,14,0.7035,0,0.5
78,2,113,0.5789,0,0.5
78,1,75,0.4828,1,0.5
78,3,38,0.3402,1,0.5
79,4,14,0.7129,0,0.5
79,2,113,0.7073,0,0.5
79,1,75,0.5565,0,0.5
79,3,38,0.3652,1,0.5
80,2,113,0.7583,0,0.5
80,4,14,0.7148,0,0.5
80,1,75,0.5674,0,0.5
80,3,38,0.3783,1,0.5
81,2,113,0.7424,0,0.5
81,4,14,0.7131,0,0.5
81,1,75,0.568,0,0.5
81,3,38,0.3903,1,0.5
82,2,113,0.7493,0,0.5
82,4,14,0.7136,0,0.5
82,1,75,0.5072,0,0.5
82,3,38,0.4072,1,0.5
83,4,14,0.7199,0,0.5
83,2,113,0.7131,0,0.5
83,1,75,0.4388,1,0.5
83,3,38,0.4043,1,0.5
84,4,14,0.7131,0,0.5
84,2,113,0.7004,0,0.5
84,3,38,0.4413,1,0.5
84,1,75,0.3763,1,0.5
85,4,14,0.7078,0,0.5
85,2,113,0.6932,0,0.5
85,3,38,0.4744,1,0.5
85,1,75,0.3207,1,0.5
86,4,14,0.7111,0,0.5
86,2,113,0.699,0,0.5
86,3,38,0.5134,0,0.5
86,1,75,0.2556,1,0.5
87,2,113,0.7067,0,0.5
87,4,14,0.6906,0,0.5
87,3,38,0.5557,0,0.5
87,1,75,0.2225,1,0.5
88,2,113,0.7271,0,0.5
88,4,14,0.6792,0,0.5
88,3,38,0.5865,0,0.5
88,1,75,0.1962,1,0.5
89,2,113,0.7392,0,0.5
89,4,14,0.6636,0,0.5
89,3,38,0.558,0,0.5
89,1,75,0.1954,1,0.5
90,2,113,0.7563,0,0.5
90,4,14,0.6467,0,0.5
90,3,38,0.5366,0,0.5
90,1,75,0.1873,1,0.5
91,2,113,0.7534,0,0.5
91,4,14,0.6329,0,0.5
