abs_frame,local_frame,block_id,label,logit_score,continuity_score,ref_iou_score,combined_score,flagged,area_px,area_ratio,centroid_jump,reason
42,42,0,orange,0.1,0.9544,0.7572,0.5535,0,26692,0.956,6.8,ok
42,42,0,spotted,0.1,0.9744,0.2176,0.3976,0,5213,0.972,3.8,ok
43,43,0,darkest,0.1,0.9964,0.5508,0.5041,0,5712,1.007,0.4,ok
43,43,0,brownish,0.1,0.9953,0.3394,0.4404,0,3768,1.009,0.7,ok
43,43,0,orange,0.1,0.9691,0.7263,0.5486,0,26288,0.985,4.6,ok
43,43,0,spotted,0.1,0.9658,0.1894,0.3866,0,5347,1.026,5.1,ok
44,44,0,darkest,0.1,0.9945,0.554,0.5046,0,5775,1.011,0.3,ok
44,44,0,brownish,0.1,0.9821,0.3373,0.4358,0,3903,1.036,1.5,ok
44,44,0,orange,0.1,0.9491,0.7152,0.5393,0,26886,1.023,7.6,ok
44,44,0,spotted,0.1,0.9657,0.1673,0.3799,0,5201,0.973,5.1,ok
45,45,0,darkest,0.1,0.99,0.5617,0.5055,0,5891,1.02,1.3,ok
45,45,0,brownish,0.1,0.9968,0.3423,0.4417,0,3928,1.006,0.4,ok
45,45,0,orange,0.1,0.9811,0.6627,0.5331,0,27338,1.017,2.8,ok
45,45,0,spotted,0.1,0.9644,0.1344,0.3696,0,4997,0.961,5.3,ok
46,46,0,darkest,0.1,0.9917,0.5619,0.5061,0,5989,1.017,0.1,ok
46,46,0,brownish,0.1,0.9955,0.3516,0.4441,0,3896,0.992,0.7,ok
46,46,0,orange,0.1,0.9932,0.6472,0.5321,0,27708,1.014,0.8,ok
46,46,0,spotted,0.1,0.9628,0.0894,0.3556,0,4874,0.975,5.6,ref_iou_drift
47,47,0,darkest,0.1,0.994,0.5618,0.5067,0,5918,0.988,0.4,ok
47,47,0,brownish,0.1,0.9911,0.362,0.4459,0,3965,1.018,1.2,ok
47,47,0,orange,0.1,0.9869,0.6639,0.5352,0,27287,0.985,2.0,ok
47,47,0,spotted,0.1,0.9659,0.0595,0.3476,1,4948,1.015,5.1,ok
48,48,0,darkest,0.1,0.9932,0.5493,0.5027,0,5949,1.005,1.0,ok
48,48,0,brownish,0.1,0.9927,0.3793,0.4516,0,3970,1.001,1.1,ok
48,48,0,orange,0.1,0.9916,0.6784,0.541,0,27636,1.013,1.3,ok
48,48,0,spotted,0.1,0.9606,0.0408,0.3404,1,5089,1.028,5.9,ok
49,49,0,darkest,0.1,0.996,0.5401,0.5008,0,5902,0.992,0.3,ok
49,49,0,brownish,0.1,0.9906,0.3851,0.4527,0,4035,1.016,1.4,ok
49,49,0,orange,0.1,0.9726,0.7191,0.5475,0,28354,1.026,4.1,ok
49,49,0,spotted,0.1,0.9645,0.0274,0.3376,1,4952,0.973,5.3,ok
50,50,0,darkest,0.1,0.9967,0.5252,0.4966,0,5886,0.997,0.5,ok
50,50,0,brownish,0.1,0.989,0.3783,0.4502,0,4030,0.999,1.6,ok
50,50,0,orange,0.1,0.9805,0.7662,0.564,0,28127,0.992,2.9,ok
50,50,0,spotted,0.1,0.9548,0.0157,0.3312,1,5044,1.019,6.8,ok
51,51,0,darkest,0.1,0.9966,0.5141,0.4932,0,5873,0.998,0.5,ok
51,51,0,brownish,0.1,0.9884,0.3636,0.4456,0,4050,1.005,1.7,ok
51,51,0,orange,0.1,0.9825,0.7727,0.5666,0,28348,1.008,2.6,ok
51,51,0,spotted,0.1,0.9541,0.0058,0.328,1,4808,0.953,6.9,ok
52,52,0,darkest,0.1,0.9932,0.4979,0.4873,0,5857,0.997,1.0,ok
52,52,0,brownish,0.1,0.9867,0.3557,0.4427,0,3989,0.985,2.0,ok
52,52,0,orange,0.1,0.9621,0.727,0.5467,0,28693,1.012,5.7,ok
52,52,0,spotted,0.1,0.9514,0.0,0.3254,1,4621,0.961,7.3,ok
53,53,0,darkest,0.1,0.9933,0.4758,0.4807,0,5876,1.003,1.0,ok
53,53,0,brownish,0.1,0.9902,0.3551,0.4436,0,3993,1.001,1.5,ok
53,53,0,orange,0.1,0.9231,0.6796,0.5208,0,28288,0.986,11.5,ok
53,53,0,spotted,0.1,0.9714,0.0,0.3314,1,4711,1.019,4.3,ok
54,54,0,darkest,0.1,0.9927,0.466,0.4776,0,5792,0.986,0.3,ok
54,54,0,brownish,0.1,0.9937,0.3539,0.4443,0,4027,1.009,0.9,ok
54,54,0,orange,0.1,0.9206,0.6449,0.5096,0,27291,0.965,11.9,ok
54,54,0,spotted,0.1,0.9817,0.0,0.3345,1,4734,1.005,2.8,ok
55,55,0,darkest,0.1,0.9955,0.4561,0.4755,0,5844,1.009,0.6,ok
55,55,0,brownish,0.1,0.9856,0.3624,0.4444,0,3914,0.972,1.7,ok
55,55,0,orange,0.1,0.9677,0.6233,0.5173,0,27823,1.019,4.8,ok
55,55,0,spotted,0.1,0.9758,0.0,0.3327,1,4799,1.014,3.6,ok
56,56,0,darkest,0.1,0.995,0.4498,0.4735,0,5902,1.01,0.6,ok
56,56,0,brownish,0.1,0.9949,0.3653,0.4481,0,3954,1.01,0.6,ok
56,56,0,orange,0.1,0.9672,0.5738,0.5023,0,27393,0.985,4.9,ok
56,56,0,spotted,0.1,0.978,0.0,0.3334,1,4687,0.977,3.3,ok
57,57,0,darkest,0.1,0.9935,0.4474,0.4723,0,5971,1.012,1.0,ok
57,57,0,brownish,0.1,0.9854,0.3823,0.4503,0,3842,0.972,1.5,ok
57,57,0,orange,0.1,0.9371,0.4979,0.4705,0,28617,1.045,9.4,ok
57,57,0,spotted,0.1,0.9811,0.0,0.3343,1,4547,0.97,2.8,ok
58,58,0,darkest,0.1,0.9905,0.4447,0.4706,0,6084,1.019,0.9,ok
58,58,0,brownish,0.1,0.9918,0.4008,0.4578,0,3780,0.984,1.0,ok
58,58,0,orange,0.1,0.9481,0.4546,0.4608,0,28069,0.981,7.8,ok
58,58,0,spotted,0.1,0.9782,0.0,0.3335,1,4432,0.975,3.3,ok
59,59,0,darkest,0.1,0.9929,0.4341,0.4681,0,6171,1.014,0.4,ok
59,59,0,brownish,0.1,0.9901,0.402,0.4576,0,3855,1.02,0.7,ok
59,59,0,orange,0.1,0.9306,0.4055,0.4408,0,27631,0.984,10.4,ok
59,59,0,spotted,0.1,0.9758,0.0,0.3327,1,4381,0.988,3.6,ok
60,60,0,darkest,0.1,0.996,0.4147,0.4632,0,6179,1.001,0.6,ok
60,60,0,brownish,0.1,0.983,0.4272,0.463,0,3728,0.967,1.2,ok
60,60,0,orange,0.1,0.9277,0.3741,0.4305,0,27214,0.985,10.9,ok
60,60,0,spotted,0.1,0.9777,0.0,0.3333,1,4284,0.978,3.4,ok
61,61,0,darkest,0.1,0.993,0.3871,0.454,0,6221,1.007,1.1,ok
61,61,0,brownish,0.1,0.9906,0.4406,0.4694,0,3659,0.981,0.1,ok
61,61,0,orange,0.1,0.9632,0.3556,0.4356,0,26302,0.966,5.5,ok
61,61,0,spotted,0.1,0.9821,0.0,0.3346,1,4231,0.988,2.7,ok
62,62,0,darkest,0.1,0.9814,0.3762,0.4473,0,6453,1.037,1.7,ok
