block_id,gt_id,start,end,n,gt_present,errors,error_rate,present_errors,present_error_rate,mean_segmentation_error
1,75,875,899,25,25,17,0.68,17,0.68,0.7851717950885009
1,113,875,899,24,24,0,0.0,0,0.0,0.18408297641788604
1,14,900,924,25,22,1,0.04,0,0.0,0.19409055507042963
1,38,900,924,23,23,0,0.0,0,0.0,0.0997698527663828
1,75,900,924,19,19,1,0.05263157894736842,1,0.05263157894736842,0.26806234367786225
1,113,900,924,24,21,0,0.0,0,0.0,0.1409238732598993
1,14,925,949,25,25,0,0.0,0,0.0,0.21573739156670924
1,38,925,949,22,22,0,0.0,0,0.0,0.07579584368171668
1,75,925,949,16,6,2,0.125,0,0.0,0.2389805892897814
1,113,925,949,24,24,0,0.0,0,0.0,0.21646554210137836
1,14,950,974,25,25,0,0.0,0,0.0,0.24122676463114678
1,38,950,974,25,25,0,0.0,0,0.0,0.08972897964975203
1,75,950,974,23,23,0,0.0,0,0.0,0.1655810613280584
1,113,950,974,25,25,0,0.0,0,0.0,0.1969067840799651
1,14,975,999,22,22,0,0.0,0,0.0,0.23928305750937395
1,38,975,999,21,21,0,0.0,0,0.0,0.1064904262976843
1,75,975,999,23,23,0,0.0,0,0.0,0.1343024543739065
1,113,975,999,20,20,0,0.0,0,0.0,0.1949159051884555
1,14,1000,1024,25,25,0,0.0,0,0.0,0.1878530023129393
1,38,1000,1024,24,24,0,0.0,0,0.0,0.11547112708743566
1,75,1000,1024,25,25,0,0.0,0,0.0,0.1178155277120058
1,113,1000,1024,25,25,0,0.0,0,0.0,0.23160314391172424
1,14,1025,1049,25,25,0,0.0,0,0.0,0.21572341260607786
1,38,1025,1049,24,24,0,0.0,0,0.0,0.07261468016791751
1,75,1025,1049,25,25,0,0.0,0,0.0,0.07893686631242908
1,113,1025,1049,25,25,0,0.0,0,0.0,0.16244599668134937
1,14,1050,1074,24,24,4,0.16666666666666666,4,0.16666666666666666,0.37934702446619634
1,38,1050,1074,23,23,0,0.0,0,0.0,0.08528133458401416
1,75,1050,1074,25,25,0,0.0,0,0.0,0.10802338557586286
1,113,1050,1074,25,25,0,0.0,0,0.0,0.0925221798099899
1,14,1075,1099,18,18,3,0.16666666666666666,3,0.16666666666666666,0.34674376547931635
1,38,1075,1099,25,25,0,0.0,0,0.0,0.09074736423058209
1,75,1075,1099,8,7,2,0.25,1,0.14285714285714285,0.2516296431835187
