video_frame,gt_id,gt_frame,pred_area,gt_area,image,source_rgb_sha256,prediction_sha256,gt_sha256
3333,38,3321,33380,12304,video003333_GT38.jpg,b39930a6f0bc23aab4cf8fc77d44a7dfd7150bc5995182141a89cbcde8338166,20dff8336ef00ec03fe9f1da64cf210e1232d9873b3d31bf726000f965817fbb,9231c3f1f8198216e81d9bd5eb9536e6a7e9dd5ff57bf7ad8990de4f2b056342
3338,38,3326,0,0,video003338_GT38.jpg,7998ebbef872eadfba07a0cdbed8c68939373d7f4f7adcfd0ccbc3d983633493,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,e76fbb382206a025ae1c4c5d4aaf9767a86518d0f44f14620128fef0816f76ff
3375,38,3363,0,0,video003375_GT38.jpg,72b21ea7d470b6550ebb3eda49e0431b491525d5f7796a313cb30a37b7eaf0e6,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,0807635adb9e159b1a32686ed76241621047e12c996ff0198ddbe8ae97aeaf40
3413,38,3401,0,44100,video003413_GT38.jpg,3bb79f71c7c3b59a6df9a900d9b56875a453c17b30309e19a5e725484abb311e,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,b87222adfc8b4b6e57c2f29d4ea30ce775f046b8e8eea1e589d14ae4421c4a42
3418,38,3406,42370,41356,video003418_GT38.jpg,816fa78d078969c6a7607550993d17727b0f5bf29953df76ae96fb5085b491e3,b736982162c9a8ff24a1034bc6eed7896786c34c295ab8d013ce72b78d3a9adb,fcf687da0e393b4b4abd9f547df8aae05442af69c1c7525a2ca8394118e27eca
3005,38,2993,12268,24772,video003005_GT38.jpg,01718814d581d7d2534cd63ece88af91c2a847ea32ba5fbee304a7538da9ed6e,8f7d0deaf04722b4211211f8ee39565be467f53c31fc045f60b7880c69fa8a57,55a2295849f5c35c11f89e32c2e214c77c65ea49c3804ba0501450fbd26f04ea
3010,38,2998,0,20016,video003010_GT38.jpg,a584181b2ed3d825e1a74202a3846bc66442974c98037127588074a968728ed1,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,59aab730d46a91c4ba30eb96cd651c42f3c28853c9716e1d486d285e522e60a8
3043,38,3031,0,15600,video003043_GT38.jpg,28274c9eb48280e7a463dce821f067569780e2ceb269cf6dd66c1f180342592c,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,8c5faed78ec3b0df92ba3cc15e867cd5ab5a5a67238f82e7da116a8fba987d76
3076,38,3064,0,9400,video003076_GT38.jpg,a308907bb8eb0a94d17564bd94d91e44fa49eab00660e85271409e1d9ddfce65,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,c37b48cbfcf9b19523bb11ec05f650eebbe2945254ebad2c212dba9fbee2cb49
3081,38,3069,30916,11244,video003081_GT38.jpg,fc0109121a64dc867039b76c33d82927a960ab060b6f5869a46d866d9adfa65f,f336e6977f297cfb85ba9a765676ff3b27a0df756f840b8bdc86058952e7e5a8,99c48d62e69910dbbd2e1273aec6a41df8f83c98bc4d65c37b1bae4597fc1851
1874,14,1862,9691,7874,video001874_GT14.jpg,ae71b5faaa75e6019f12de06ea2b2a6570f8ce546d14e1a7ecf309841552ab07,25741db581f9b0b90c009d9ea1e8d3a21c5736aecd7995b49eda6950c6dff8da,c552042e8968d27fbe032399ebc8e4da254f837cfc274420f84397eb44980f6d
2184,14,2172,49991,5076,video002184_GT14.jpg,7921b7bb1e51378e059ce4d3e0f1f6ec903b5dca4e2a1e2de52951ff4e94659b,3d79b44f7fe542aeaac439571b47e74098d8afb5fa87b5a70704a728cccb3f5d,817dfa333f76ff629475e7d6e863051c3363eb080b229206a5bda4ce99cac93c
2189,14,2177,0,5056,video002189_GT14.jpg,d49daac4d9e9c16dd3a1eb50111a270cd85cdd9a325fbc96f0e6e176e096c40d,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,a98d360083d61405d99ddd54db3286c9f5d652d15f703712056acb81cbd80524
2219,14,2207,0,6162,video002219_GT14.jpg,40f369406e0e0c09e0dbc35f9998097cbd0a1fac31f894be204c67cf83a37b5d,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,9d861b6b720c597f675aad316679b39bf7a918b0dfce474bb3e20e8c6e2d57fd
2249,14,2237,0,6156,video002249_GT14.jpg,e90e5264b200846641ba9f9377c2fb4d107634c74f09892572c48a64a2bb955d,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,49727e2fc92aa44581760accf0754e4a74cd7b069fb2a9ee73ba8a1c83b806f8
3645,38,3633,15646,10864,video003645_GT38.jpg,76ce96e3c261800ae3ba76227d1b3d39f2d670e7fdeaf33d04e4081a83b2935f,4af6699c83a5af7677bf5a73cbe93fec1558f02fda2d5d32bb35a8603c1ebbac,f485b01bd66408fabf7fda535680ada420b1af2f8e02822f51740bd09c5e41ca
3650,38,3638,0,0,video003650_GT38.jpg,e8a12a2e801d72ace8a90bb5bca152afc9d06c872641300ee4502961a1b5a36e,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,801859191a8b05e8fd73ca50f2fb99e3ed8979fe329fa0f932aaaddfd9954dbc
3677,38,3665,0,0,video003677_GT38.jpg,5409cbaff0ac36f20a408489568f542a948f8f06e395be0227ca0b13e513cf4b,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,02a1188e6dc537e78c531bc0e76364460225e32250c9bf52f4184138ab6a5d2a
3705,38,3693,0,0,video003705_GT38.jpg,e1050ba2f7c2fac821bb5b2dc1f22d0c59b8cc8a38526815b5ea1c4a4ed59af5,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,4a2ab0086afd41352686dc85589f033559be7a5d6e24d206992abe58627eb676
3710,38,3698,15956,0,video003710_GT38.jpg,7c2394e7615c721a9ad3f99254fdaea402003f1aef84e51453de237fee934d36,c7fa1110c074041be799b4ca071da0eec48109df47af1532d5e0897c97ab3c1c,2c59bcd585cc09956eaf796441674f2bdef9706d641d7d6bff571b2c18eecc8b
2251,75,2239,7706,38636,video002251_GT75.jpg,22360bd51986744db5630a56af8ece581b1ab64721cd8d3b5135588dc484085e,d38212ea8c6ff5b5d729c16f26976188530bd048e412d22e7a4e754a069c7dc6,fb932a10f0aef6c411eb81edc439d53731e10d2a1f59840806e63d3716c6d75e
2256,75,2244,0,13014,video002256_GT75.jpg,fe69075a7d736b8d99c6ca3a001ae3fce46de4df378d3d6aa3d91282060754da,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,2ad143a4aece209877a2649f75bf23e57026893f2f2fbe8e81f3c8ceed1abf89
2282,75,2270,0,0,video002282_GT75.jpg,b08d22a1bf67c8fe5a1fd847f71d85caac8e7a0a391113c40d27a1babfb0c6e3,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,9c2ce40433cf4b3cae225163a763725a9b1a1b6bbffe64b1a755e839649f4edf
2309,75,2297,0,0,video002309_GT75.jpg,4fabf335576e9cc0ac29a37170019b25c81ab51ad613f3037b09b2584dffc443,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,cf0085a40f8187b8578779da0bd0e6f89fa9831828abb37a08c243627f81ad7b
2314,75,2302,36973,35086,video002314_GT75.jpg,f809b264be6e6e466ece9bed0bc089aeedb1cef7c5a2b74fcb4aea00b55a47a1,eb57f924f99217122f88b6d27149f1851bae7b293d821ad358a84ba3199cfee5,82602a2e2de3fa40339a7def6dde0ff3b53c972c1b5446a9ed531c4532bc3c33
2624,75,2612,6853,5184,video002624_GT75.jpg,09114d837e1d6594fc316fb2b72e2dd9e6007aeaa4c7e5a127dd695efd63128b,f91a8c75845b4afbeb9f28828a02ba1a51ccadbc0bff45bf089e6fcf2cb8d2d8,eea028a886a8c7b99cc0eb1345b8745cf7e9e76d98b754b4ded8c20240a26e20
3243,38,3231,31270,7776,video003243_GT38.jpg,f627e3c80d15216e4bc01f6682d09ca7af1f5dcd2d970c99ba14a308c2ff7847,6aa6c3a436d7ef92ce5d39345121b87f01ce9d37ea7413bf4466a595c544d64d,1d8ad44c434ed966d7863c47c502494f821bfc1a322c4f7ec53204b1ffb29b62
3248,38,3236,0,7200,video003248_GT38.jpg,69f40c8954722ee46e32c69fb888d546cc0786f5e21bc7ffadc8766122ba9444,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,f4dbe0888a6e99cbb91fa31a2993ebe63c4132de728b5aa70ae20f4dcd739f5f
3272,38,3260,0,7376,video003272_GT38.jpg,a4f5e9931820a25697cfaa29bffd519471c48b5e00c6a92de137c5bc4e0d4474,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,15963b74f9093310ff2d385138f8194685b6d5cccbca1fa95eaf4a284ee479ca
3296,38,3284,0,0,video003296_GT38.jpg,f35368ea404616dff7f7fb9461944e9f2180de40e8f7f7f3b62da1e5eaddf327,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,53eb1be17b07cf9162a93614b60a759703dc49952d6b9c7e83ffed07f607f1ae
3301,38,3289,144531,138916,video003301_GT38.jpg,e24652f90a5404b9eac1bcc51c59ca628a762835cfbab15c47258ac569b5a72c,2b4e378eef03c62bf8388de37f33b74397a45862145d10deafd0a110f8520008,49d287ee0250e7f858f256fffba917d1fdbb2da8474deddea0b67b04036d55f3
2377,75,2365,12657,10940,video002377_GT75.jpg,950d2eb33df33ab5273abfb1e3ebc57036c7f36384926a7159ee4f7e6d7d0a8a,bd0fdf66f23dcc79de44568f00a7b919ce8c875f27206efcfab23b84d8057550,cd9ad42b1eb0f768126f88696c34dfc374c3ea5371e6155e872e91dab19fd31b
2382,75,2370,0,12464,video002382_GT75.jpg,09b2a30a0aa37c94c20a6972489b9705e12977f05359fbfd622ef622cbbddc0b,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,27e3eeb94f855e2538662bd103d6efe9c77d4cee282c08d6af61f889a39038a9
2405,75,2393,0,0,video002405_GT75.jpg,d7baaa359566f48f081aeb99ba9ec4e2c50b88e24f97209db6073c1a794f2483,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,615ceff2fc7cb85a647c5d879415ed7837beaa1ad7460b99ae25efd320c7d359
2429,75,2417,0,0,video002429_GT75.jpg,529cc4bab4422b02cf2d4e135511297d216a6c9d2fe7e5931e89b135f8e84f63,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,de5e78274e0c3820314d71b0ea1079e67a4380b2abd4c1b05adef3653a1af1a6
2434,75,2422,19045,15092,video002434_GT75.jpg,21d47cd85f0d4250c1693cab5b194053a266e6b8b1e770ca8929ec2644324452,fc6dbc7c786fca55b5849e52fc4489e68baf966ec6a5c6ae57b8eedbdd19d5ea,e8c98cf4432025c70a3d06271897501bda3b5f691e89fd40a9e8979556e87290
2624,38,2612,14297,12584,video002624_GT38.jpg,09114d837e1d6594fc316fb2b72e2dd9e6007aeaa4c7e5a127dd695efd63128b,c96cecdea0a92b7f7e0f8a6e68cee785678635318dc900cdb429bb555ae47ee4,eea028a886a8c7b99cc0eb1345b8745cf7e9e76d98b754b4ded8c20240a26e20
2939,38,2927,13964,13022,video002939_GT38.jpg,fbc8d4070a257d25d22725874177eff804b106d2efe0e62679c470a69828ce6f,c154b145ce0e3d1794f8f7836b52d10075b570df2ee0c1f198149a04f380ee14,f06d41ed71d6351d2a367b3ba539be80d47ad4b3715e7e06edfb23df04372917
