video_frame,gt_frame,gt_id,reason,detail
427,415,75,small_disconnected_regions,
428,416,38,area_change,
429,417,38,area_change,
430,418,38,small_disconnected_regions,
430,418,75,small_disconnected_regions,
431,419,75,small_disconnected_regions,
444,432,38,small_disconnected_regions,
445,433,38,small_disconnected_regions,
445,433,38,source_correspondence_uncertain,
446,434,38,small_disconnected_regions,
447,435,113,small_disconnected_regions,
452,440,75,small_disconnected_regions,
457,445,75,tiny_target_region,
461,449,75,small_disconnected_regions,
481,469,113,small_disconnected_regions,
482,470,75,small_disconnected_regions,
482,470,113,small_disconnected_regions,
483,471,75,small_disconnected_regions,
520,508,75,small_disconnected_regions,
522,510,75,small_disconnected_regions,
523,511,75,small_disconnected_regions,
524,512,14,small_disconnected_regions,
525,513,75,small_disconnected_regions,
526,514,14,small_disconnected_regions,
527,515,14,small_disconnected_regions,
527,515,14,source_correspondence_uncertain,
527,515,75,small_disconnected_regions,
528,516,14,small_disconnected_regions,
529,517,14,small_disconnected_regions,
530,518,14,small_disconnected_regions,
531,519,14,small_disconnected_regions,
531,519,75,small_disconnected_regions,
532,520,14,small_disconnected_regions,
533,521,14,small_disconnected_regions,
533,521,75,small_disconnected_regions,
534,522,14,small_disconnected_regions,
535,523,14,small_disconnected_regions,
536,524,14,small_disconnected_regions,
537,525,14,small_disconnected_regions,
538,526,14,small_disconnected_regions,
539,527,14,small_disconnected_regions,
540,528,14,small_disconnected_regions,
541,529,14,small_disconnected_regions,
541,529,75,small_disconnected_regions,
542,530,14,small_disconnected_regions,
542,530,75,small_disconnected_regions,
543,531,14,small_disconnected_regions,
543,531,75,small_disconnected_regions,
562,550,14,small_disconnected_regions,
562,550,113,small_disconnected_regions,
563,551,113,small_disconnected_regions,
569,557,75,small_disconnected_regions,
585,573,113,small_disconnected_regions,
617,605,75,small_disconnected_regions,
621,609,113,small_disconnected_regions,
622,610,113,small_disconnected_regions,
623,611,113,small_disconnected_regions,
633,621,38,small_disconnected_regions,
636,624,113,small_disconnected_regions,
637,625,14,small_disconnected_regions,
643,631,113,small_disconnected_regions,
646,634,75,small_disconnected_regions,
650,638,75,multiple_substantial_regions,
650,638,75,centroid_jump,
651,639,75,multiple_substantial_regions,
652,640,75,multiple_substantial_regions,
653,641,75,multiple_substantial_regions,
654,642,75,multiple_substantial_regions,
655,643,75,multiple_substantial_regions,
656,644,75,multiple_substantial_regions,
657,645,75,multiple_substantial_regions,
658,646,75,multiple_substantial_regions,
659,647,75,multiple_substantial_regions,
660,648,75,multiple_substantial_regions,
661,649,75,multiple_substantial_regions,
661,649,113,small_disconnected_regions,
662,650,75,multiple_substantial_regions,
663,651,75,multiple_substantial_regions,
664,652,75,multiple_substantial_regions,
665,653,75,multiple_substantial_regions,
665,653,113,small_disconnected_regions,
666,654,75,multiple_substantial_regions,
667,655,75,multiple_substantial_regions,
668,656,75,multiple_substantial_regions,
669,657,75,multiple_substantial_regions,
670,658,75,multiple_substantial_regions,
671,659,75,multiple_substantial_regions,
672,660,75,multiple_substantial_regions,
672,660,113,small_disconnected_regions,
673,661,75,multiple_substantial_regions,
674,662,75,multiple_substantial_regions,
675,663,75,multiple_substantial_regions,
676,664,75,multiple_substantial_regions,
677,665,14,small_disconnected_regions,
677,665,38,small_disconnected_regions,
677,665,75,centroid_jump,
677,665,113,small_disconnected_regions,
677,665,113,source_correspondence_uncertain,
678,666,38,small_disconnected_regions,
678,666,75,small_disconnected_regions,
678,666,113,small_disconnected_regions,
678,666,113,source_correspondence_uncertain,
679,667,113,multiple_substantial_regions,
679,667,113,source_correspondence_uncertain,
681,669,14,small_disconnected_regions,
682,670,38,small_disconnected_regions,
683,671,14,small_disconnected_regions,
683,671,38,small_disconnected_regions,
683,671,113,small_disconnected_regions,
686,674,14,small_disconnected_regions,
687,675,75,multiple_substantial_regions,
688,676,75,multiple_substantial_regions,
689,677,14,small_disconnected_regions,
690,678,14,small_disconnected_regions,
691,679,14,small_disconnected_regions,
693,681,14,small_disconnected_regions,
693,681,113,small_disconnected_regions,
693,681,113,source_correspondence_uncertain,
694,682,14,small_disconnected_regions,
694,682,113,small_disconnected_regions,
694,682,113,source_correspondence_uncertain,
695,683,14,small_disconnected_regions,
695,683,113,small_disconnected_regions,
695,683,113,source_correspondence_uncertain,
697,685,14,small_disconnected_regions,
697,685,38,small_disconnected_regions,
697,685,113,small_disconnected_regions,
698,686,14,small_disconnected_regions,
698,686,113,small_disconnected_regions,
699,687,14,small_disconnected_regions,
699,687,113,small_disconnected_regions,
702,690,14,small_disconnected_regions,
703,691,38,small_disconnected_regions,
704,692,14,small_disconnected_regions,
704,692,113,small_disconnected_regions,
705,693,14,small_disconnected_regions,
706,694,14,small_disconnected_regions,
707,695,14,small_disconnected_regions,
708,696,14,small_disconnected_regions,
708,696,113,small_disconnected_regions,
709,697,113,small_disconnected_regions,
711,699,14,small_disconnected_regions,
711,699,113,small_disconnected_regions,
712,700,113,small_disconnected_regions,
713,701,113,small_disconnected_regions,
714,702,113,small_disconnected_regions,
715,703,113,small_disconnected_regions,
716,704,113,small_disconnected_regions,
719,707,113,small_disconnected_regions,
720,708,14,small_disconnected_regions,
720,708,113,small_disconnected_regions,
721,709,113,small_disconnected_regions,
722,710,14,small_disconnected_regions,
722,710,113,small_disconnected_regions,
723,711,113,small_disconnected_regions,
724,712,14,small_disconnected_regions,
724,712,38,small_disconnected_regions,
724,712,113,small_disconnected_regions,
725,713,113,small_disconnected_regions,
726,714,14,small_disconnected_regions,
726,714,113,small_disconnected_regions,
727,715,14,small_disconnected_regions,
727,715,113,small_disconnected_regions,
731,719,113,small_disconnected_regions,
760,748,75,small_disconnected_regions,
767,755,38,small_disconnected_regions,
779,767,75,small_disconnected_regions,
782,770,113,small_disconnected_regions,
783,771,113,small_disconnected_regions,
784,772,75,multiple_substantial_regions,
785,773,75,multiple_substantial_regions,
786,774,38,small_disconnected_regions,
786,774,75,multiple_substantial_regions,
799,787,14,small_disconnected_regions,
800,788,75,multiple_substantial_regions,
801,789,14,small_disconnected_regions,
801,789,75,multiple_substantial_regions,
802,790,75,multiple_substantial_regions,
803,791,75,multiple_substantial_regions,
804,792,75,multiple_substantial_regions,
805,793,75,multiple_substantial_regions,
806,794,75,small_disconnected_regions,
809,797,14,small_disconnected_regions,
810,798,14,small_disconnected_regions,
811,799,38,small_disconnected_regions,
820,808,75,small_disconnected_regions,
863,851,38,small_disconnected_regions,
864,852,38,small_disconnected_regions,
865,853,38,small_disconnected_regions,
868,856,38,small_disconnected_regions,
869,857,38,small_disconnected_regions,
877,865,113,small_disconnected_regions,
911,899,38,small_disconnected_regions,
911,899,75,small_disconnected_regions,
917,905,75,small_disconnected_regions,
920,908,113,small_disconnected_regions,
921,909,75,small_disconnected_regions,
921,909,75,centroid_jump,
922,910,38,small_disconnected_regions,
922,910,75,small_disconnected_regions,
922,910,75,centroid_jump,
923,911,75,centroid_jump,
925,913,75,multiple_substantial_regions,
925,913,113,small_disconnected_regions,
927,915,75,area_change,
