abs_frame,sam2_label,gt_id,block_id,direction,foreground_logit_score
488,4,113,0,later,0.9766291975975037
489,1,14,0,later,0.9764350652694702
489,2,38,0,later,0.9861369729042053
489,3,75,0,later,0.9901862144470215
489,4,113,0,later,0.9779173135757446
490,1,14,0,later,0.9755558371543884
490,2,38,0,later,0.9838305115699768
490,3,75,0,later,0.9893285632133484
490,4,113,0,later,0.9797168374061584
491,1,14,0,later,0.9773523807525635
491,2,38,0,later,0.9856969714164734
491,3,75,0,later,0.9906560182571411
491,4,113,0,later,0.9776790142059326
492,1,14,0,later,0.9759801030158997
492,2,38,0,later,0.9809410572052002
492,3,75,0,later,0.9914652109146118
492,4,113,0,later,0.9782612919807434
493,1,14,0,later,0.9753410220146179
493,2,38,0,later,0.9818567037582397
493,3,75,0,later,0.989754319190979
493,4,113,0,later,0.9766054749488831
494,1,14,0,later,0.9750300645828247
494,2,38,0,later,0.9856314063072205
494,3,75,0,later,0.9920796751976013
494,4,113,0,later,0.9788917899131775
495,1,14,0,later,0.9758172631263733
495,2,38,0,later,0.9874273538589478
495,3,75,0,later,0.9912686944007874
495,4,113,0,later,0.9762318134307861
496,1,14,0,later,0.9760915040969849
496,2,38,0,later,0.9880973100662231
496,3,75,0,later,0.9908884167671204
496,4,113,0,later,0.9831241965293884
497,1,14,0,later,0.9779313206672668
497,2,38,0,later,0.9833399057388306
497,3,75,0,later,0.9902275204658508
497,4,113,0,later,0.9840970635414124
498,1,14,0,later,0.9772342443466187
498,2,38,0,later,0.9787524938583374
498,3,75,0,later,0.9916727542877197
498,4,113,0,later,0.9856881499290466
499,1,14,0,later,0.9777072072029114
499,2,38,0,later,0.9742405414581299
499,3,75,0,later,0.9887088537216187
499,4,113,0,later,0.9810660481452942
500,1,14,0,later,0.9783236384391785
500,2,38,0,later,0.9708253145217896
500,3,75,0,later,0.9868523478507996
500,4,113,0,later,0.9807690978050232
501,1,14,0,later,0.9847100973129272
501,2,38,0,later,0.9841294884681702
501,3,75,0,later,0.9880205392837524
501,4,113,0,later,0.9815835952758789
502,1,14,0,later,0.9794842004776001
502,2,38,0,later,0.9782331585884094
502,3,75,0,later,0.9899197816848755
502,4,113,0,later,0.9829267263412476
503,1,14,0,later,0.9776516556739807
503,2,38,0,later,0.9866127371788025
503,3,75,0,later,0.9904996156692505
503,4,113,0,later,0.9794738292694092
504,1,14,0,later,0.9852548837661743
504,2,38,0,later,0.9828949570655823
504,3,75,0,later,0.9867910146713257
504,4,113,0,later,0.9787512421607971
505,1,14,0,later,0.979491651058197
505,2,38,0,later,0.9848570227622986
505,3,75,0,later,0.9910767674446106
505,4,113,0,later,0.9843268990516663
506,1,14,0,later,0.9801588654518127
506,2,38,0,later,0.9843791127204895
506,3,75,0,later,0.990372896194458
506,4,113,0,later,0.9826287627220154
507,1,14,0,later,0.9808438420295715
507,2,38,0,later,0.9839814901351929
507,3,75,0,later,0.991159200668335
507,4,113,0,later,0.9812340140342712
508,1,14,0,later,0.98312908411026
508,2,38,0,later,0.9757183194160461
508,3,75,0,later,0.9907135963439941
508,4,113,0,later,0.9802023768424988
509,1,14,0,later,0.9860631823539734
509,2,38,0,later,0.9633756875991821
509,3,75,0,later,0.9921435117721558
509,4,113,0,later,0.9803398251533508
510,1,14,0,later,0.986117959022522
510,2,38,0,later,0.9661362767219543
510,3,75,0,later,0.991201639175415
510,4,113,0,later,0.9810559749603271
511,1,14,0,later,0.9877022504806519
511,2,38,0,later,0.9688787460327148
511,3,75,0,later,0.9914265871047974
511,4,113,0,later,0.9772574305534363
512,1,14,0,later,0.9873565435409546
512,2,38,0,later,0.9748863577842712
512,3,75,0,later,0.9885808825492859
512,4,113,0,later,0.9843912124633789
513,1,14,0,later,0.9885262846946716
513,2,38,0,later,0.9584329128265381
513,3,75,0,later,0.990551769733429
513,4,113,0,later,0.9879688620567322
514,1,14,0,later,0.9893998503684998
514,2,38,0,later,0.9750227928161621
514,3,75,0,later,0.990424633026123
514,4,113,0,later,0.9878156781196594
515,1,14,0,later,0.9881637692451477
515,2,38,0,later,0.9524321556091309
515,3,75,0,later,0.9913732409477234
515,4,113,0,later,0.9880245923995972
516,1,14,0,later,0.989473819732666
516,2,38,0,later,
516,3,75,0,later,0.9910116195678711
516,4,113,0,later,0.9875229001045227
517,1,14,0,later,0.9889468550682068
517,2,38,0,later,
517,3,75,0,later,0.9905067086219788
517,4,113,0,later,0.985350489616394
518,1,14,0,later,0.9890589118003845
518,2,38,0,later,
518,3,75,0,later,0.9899980425834656
518,4,113,0,later,0.9839182496070862
519,1,14,0,later,0.988673746585846
519,2,38,0,later,
519,3,75,0,later,0.9897422194480896
519,4,113,0,later,0.9828903675079346
520,1,14,0,later,0.9874541759490967
520,2,38,0,later,
520,3,75,0,later,0.9927794337272644
520,4,113,0,later,0.9828811287879944
521,1,14,0,later,0.9890801906585693
521,2,38,0,later,
521,3,75,0,later,0.9919208288192749
521,4,113,0,later,0.9838127493858337
522,1,14,0,later,0.9805597066879272
522,2,38,0,later,
522,3,75,0,later,0.9901147484779358
522,4,113,0,later,0.983534038066864
523,1,14,0,later,0.9796056747436523
523,2,38,0,later,
523,3,75,0,later,0.9883531332015991
523,4,113,0,later,0.9837577939033508
524,1,14,0,later,0.9786251783370972
524,2,38,0,later,
524,3,75,0,later,0.989726185798645
524,4,113,0,later,0.9833652377128601
525,1,14,0,later,0.9830741286277771
525,2,38,0,later,
525,3,75,0,later,0.9871340990066528
525,4,113,0,later,0.9850378036499023
526,1,14,0,later,0.9854545593261719
526,2,38,0,later,
526,3,75,0,later,0.987545907497406
526,4,113,0,later,0.9855471253395081
527,1,14,0,later,0.9858554601669312
527,2,38,0,later,
527,3,75,0,later,0.98546302318573
527,4,113,0,later,0.9863146543502808
528,1,14,0,later,0.984734833240509
528,2,38,0,later,
528,3,75,0,later,0.9870814681053162
528,4,113,0,later,0.9861732721328735
529,1,14,0,later,0.9847769737243652
529,2,38,0,later,
529,3,75,0,later,0.9847623705863953
529,4,113,0,later,0.9870197176933289
530,1,14,0,later,0.985676646232605
530,2,38,0,later,
530,3,75,0,later,0.9859686493873596
530,4,113,0,later,0.9887837767601013
531,1,14,0,later,0.9871681928634644
531,2,38,0,later,
531,3,75,0,later,0.9808761477470398
531,4,113,0,later,0.9874555468559265
532,1,14,0,later,0.984544575214386
532,2,38,0,later,
532,3,75,0,later,0.9778370261192322
532,4,113,0,later,0.986866295337677
533,1,14,0,later,0.982732892036438
533,2,38,0,later,
533,3,75,0,later,0.9821186065673828
533,4,113,0,later,0.9872219562530518
534,1,14,0,later,0.9775373339653015
534,2,38,0,later,
534,3,75,0,later,0.9820783138275146
534,4,113,0,later,0.9877035617828369
535,1,14,0,later,0.9840971827507019
535,2,38,0,later,
535,3,75,0,later,0.9843365550041199
535,4,113,0,later,0.9896611571311951
536,1,14,0,later,0.984068751335144
536,2,38,0,later,
536,3,75,0,later,0.9834572076797485
536,4,113,0,later,0.988304615020752
537,1,14,0,later,0.9774591326713562
537,2,38,0,later,
537,3,75,0,later,0.9825155735015869
537,4,113,0,later,0.9889509081840515
538,1,14,0,later,0.9820387363433838
538,2,38,0,later,
538,3,75,0,later,0.9856645464897156
538,4,113,0,later,0.9882742166519165
539,1,14,0,later,0.9771361351013184
539,2,38,0,later,
539,3,75,0,later,0.9854796528816223
539,4,113,0,later,0.9879679083824158
540,1,14,0,later,0.9803370833396912
540,2,38,0,later,
540,3,75,0,later,0.9850867390632629
540,4,113,0,later,0.9891166687011719
541,1,14,0,later,0.9820420145988464
541,2,38,0,later,
541,3,75,0,later,0.9851866960525513
541,4,113,0,later,0.9887011051177979
542,1,14,0,later,0.9759728312492371
542,2,38,0,later,
542,3,75,0,later,0.9848094582557678
542,4,113,0,later,0.9884560108184814
543,1,14,0,later,0.9821615219116211
543,2,38,0,later,
543,3,75,0,later,0.9843736290931702
543,4,113,0,later,0.9888057708740234
544,1,14,0,later,0.9826996922492981
544,2,38,0,later,
544,3,75,0,later,0.9859338998794556
544,4,113,0,later,0.9869279265403748
545,1,14,0,later,0.9817395210266113
545,2,38,0,later,
545,3,75,0,later,0.9847004413604736
545,4,113,0,later,0.9863928556442261
546,1,14,0,later,0.982710599899292
546,2,38,0,later,
546,3,75,0,later,0.9849606156349182
546,4,113,0,later,0.9867681264877319
547,1,14,0,later,0.9778238534927368
547,2,38,0,later,
547,3,75,0,later,0.9889466762542725
547,4,113,0,later,0.9886037707328796
548,1,14,0,later,0.9790204763412476
548,2,38,0,later,
548,3,75,0,later,0.9901917576789856
548,4,113,0,later,0.9872832298278809
549,1,14,0,later,0.9811888933181763
549,2,38,0,later,
549,3,75,0,later,0.9877706170082092
549,4,113,0,later,0.9878548383712769
550,1,14,0,later,0.9793949127197266
550,2,38,0,later,
550,3,75,0,later,0.988230288028717
550,4,113,0,later,0.9874260425567627
551,1,14,0,later,0.9783630967140198
551,2,38,0,later,
551,3,75,0,later,0.9895786046981812
551,4,113,0,later,0.9855715036392212
552,1,14,0,later,0.985543966293335
552,2,38,0,later,
552,3,75,0,later,0.9904554486274719
552,4,113,0,later,0.9855581521987915
553,1,14,0,later,0.9827640652656555
553,2,38,0,later,
553,3,75,0,later,0.9911136627197266
553,4,113,0,later,0.9860203266143799
554,1,14,0,later,0.9859113097190857
554,2,38,0,later,
554,3,75,0,later,0.9904475808143616
554,4,113,0,later,0.9855902194976807
555,1,14,0,later,0.9865337014198303
555,2,38,0,later,
555,3,75,0,later,0.9904748797416687
555,4,113,0,later,0.9870118498802185
556,1,14,0,later,0.9743608832359314
556,2,38,0,later,
556,3,75,0,later,0.987695574760437
556,4,113,0,later,0.9866587519645691
557,1,14,0,later,0.9789433479309082
557,2,38,0,later,
557,3,75,0,later,0.9888843894004822
557,4,113,0,later,0.9878944158554077
558,1,14,0,later,0.9774219989776611
558,2,38,0,later,
558,3,75,0,later,0.9881893396377563
558,4,113,0,later,0.984807550907135
559,1,14,0,later,0.9749438166618347
559,2,38,0,later,
559,3,75,0,later,0.9896330833435059
559,4,113,0,later,0.9832696914672852
560,1,14,0,later,0.9730635285377502
560,2,38,0,later,
560,3,75,0,later,0.9900115132331848
560,4,113,0,later,0.9785729646682739
561,1,14,0,later,0.9751399755477905
561,2,38,0,later,
561,3,75,0,later,0.9889851212501526
561,4,113,0,later,0.9679654836654663
562,1,14,0,later,0.9796203374862671
562,2,38,0,later,
562,3,75,0,later,0.9884709715843201
562,4,113,0,later,0.9731063842773438
563,1,14,0,later,0.9808794856071472
563,2,38,0,later,
563,3,75,0,later,0.9860627055168152
563,4,113,0,later,0.9721779823303223
564,1,14,0,later,0.9817724227905273
564,2,38,0,later,
564,3,75,0,later,0.9827820658683777
564,4,113,0,later,0.9634184837341309
565,1,14,0,later,0.9823091626167297
565,2,38,0,later,
565,3,75,0,later,0.9785304665565491
565,4,113,0,later,0.9723204970359802
566,1,14,0,later,0.9851373434066772
566,2,38,0,later,
566,3,75,0,later,0.9763689041137695
566,4,113,0,later,0.9797662496566772
567,1,14,0,later,0.9867067933082581
567,2,38,0,later,
567,3,75,0,later,0.98307865858078
567,4,113,0,later,0.9830346703529358
568,1,14,0,later,0.9872242212295532
568,2,38,0,later,
568,3,75,0,later,0.9839019179344177
568,4,113,0,later,0.9838734269142151
569,1,14,0,later,0.9865727424621582
569,2,38,0,later,
569,3,75,0,later,0.9897215366363525
569,4,113,0,later,0.9838834404945374
570,1,14,0,later,0.9857722520828247
570,2,38,0,later,
570,3,75,0,later,0.9874585866928101
570,4,113,0,later,0.9843882918357849
571,1,14,0,later,0.9863770008087158
571,2,38,0,later,
571,3,75,0,later,0.9859776496887207
571,4,113,0,later,0.9852842092514038
